group	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
clade_name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23
Ruminococcaceae_unclassified_SGB15234	0.03657	0	0	0	0	0	0.88214	0	0	0.7516	0.24757	0.06478	0.05257	0	0	3.37902	2.65751	0.51052	1.3035	0.62799	0.0711	0.16437	0.48498
Ruminococcus_torques	0.1654	0.66031	0.42944	0.06814	0	0.36319	0.03814	1.20471	0.18174	0.67624	0.47427	0.32673	0.09561	0.72541	0.07207	0.31186	0.00434	0.0827	0.34194	0.37634	0.19857	0.16439	0.90946
Barnesiella_intestinihominis	2.7907	0	1.41533	1.19605	0	0	0	0	0.01593	0.63422	4.54498	0.9734	0.09863	0	0.36019	8.09009	1.07241	0.82324	0.25239	0.73418	0.90639	0	1.61787
GGB9642_SGB15119	0.09334	0	0.10317	0	0	0	0	0	0	0.60814	0.00704	0.07508	0	0	0	0	0	0	0	0	0	0	0
Faecalibacterium_SGB15346	0	0	0.35232	0.5196	0	0.11084	0.09101	1.44911	0	0.57031	0.13502	0.31161	0.03903	0.75296	0	1.46642	1.48097	0.54745	4.77418	1.26973	0.31208	0.27667	0.00407
GGB9709_SGB15238	0	0	0	0	0	0	0	0	0	0.55206	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola_vulgatus	1.562	8.17382	0.33111	9.04422	0	7.01918	0.48577	4.49784	0.11849	0.54392	1.035	0	6.548	33.84313	5.12292	0.253	1.4613	6.95649	4.32758	3.30233	10.68682	14.65667	4.65871
Alistipes_ihumii	0.11614	0.10668	0.20997	0	0	0	0	0.50929	0	0.52887	0	0.01338	0.09728	0	0	1.76607	0.08741	0.05162	0	0.07766	0.02105	0	0.10026
Massilicoli_timonensis	0	0	0.00619	0	0	0	0.03751	0	0	0.51326	0	0	0	0	0	0	0	0	0	0	0	0	0.22906
Collinsella_aerofaciens	0.00972	0.05336	0.24247	0.09265	0	0.00943	0.15752	0.26034	0.00657	0.51012	0.06237	0	0	0.0176	0	0.20195	0.13629	0.76692	0.47245	0.12815	0.03912	0	0.2146
Bacteroides_finegoldii	0.01593	0	0.14207	0	0	0	0.01792	0	0	0.50138	0	0	0	0.15527	0	0	0	0	0.15753	0	0	0	0
GGB4603_SGB6367	0	0	0	0	0	0	0	0	0	0.50071	0	0	0	0	0	0	0	0	0	0	0	0.2079	0.20252
Bacteroides_xylanisolvens	0.32593	0	1.22575	0.51738	0	0	0.03658	0.70806	0	0.49404	0.03645	0.64537	0	0	0	0	0	0.03048	0.16752	0.52775	0.61073	0	0
Coprococcus_eutactus	0.23927	0	0	0	0	0	0.06556	0.17432	0	0.46494	0.17774	0	0.21254	0	0	0	0.04746	2.60934	0.01671	0.41819	0	0.44194	0.00068
Ruminococcus_lactaris	0	0.03507	0.04163	0.87542	0	0.03875	0	0.17321	0	0.44312	0.09796	0	0	0	0	0.15099	0	0.24017	0.66489	0	0.09436	0	0
GGB1495_SGB2071	0.57462	0	0.08698	0	0	0	0.06398	0	2.45983	0.44028	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB9758_SGB15368	0	0	0.02326	0	0	0	0.01083	0.60531	0.02303	0.42762	0.08426	0.05957	0	0	0	0.73776	0.81674	2.85567	1.43984	0.11621	0.08635	0.78303	0
GGB9602_SGB15031	0.06576	0	0.04552	0.03477	0	0	0.64419	0.29256	0.05407	0.41181	0.08586	0.00232	3.31926	0	0	2.16319	0.71824	0.49726	0.26808	0.09105	0.1868	0	0.00215
Phascolarctobacterium_succinatutens	0.14259	0	0.29425	1.01447	0	0	0.32321	0	0	0.40457	0.62098	0.60018	0	0	0	0	0	0	0	0	0	0	0
GGB3277_SGB4327	0	0.32598	0	0	0	0	0	0	0	0.40344	0	0	0.14387	0.25018	0.16316	0.32995	0	0	0	0	0	0	0
