group	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
clade_name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23
Bacteroides_thetaiotaomicron	0.09886	12.70528	0.04454	3.91228	0	0	0	3.27757	0	0	0.09381	0	0.90802	6.44335	0.05738	0	0	0.52724	0	0.17565	0.4313	2.81109	0.89301
GGB9635_SGB15102	0	0	0	0	0	0	0	0	0	0	0.09194	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella_dispar	0	0	0	0.03332	1.1273	0.03142	0	0.03472	0	0	0.09031	0	0	0.03148	0.22393	0	0	0.00371	0.12352	0.03374	0.84109	0.11042	0
Sutterella_seckii	0	0	0	0	0	0	0	0	0	0	0.08462	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria_subflava	0	0	0	0	0	0	0	0	0	0	0.08283	0	0	0.10806	0	0	0	0	0	0	0	0	0
Acinetobacter_johnsonii	0	0	0	0	0	0	0	0	0	0	0.07914	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria_sicca	0	0	0	0	0	0	0	0	0	0	0.07591	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales_Family_XIII_bacterium_WCA_MUC_591_APC_4B	0	0	0	0	0	0	0	0	0	0	0.07538	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella_parvula	0	0.41179	0	0.01956	4.02385	0.11686	0	0.00835	0	0	0.07057	0	0	0	0	0	0	0	0.02071	0.00197	0.68557	0.09576	0
GGB9342_SGB14306	1.77323	0	0.08927	0	0	0	4.09176	0	0	0	0.06743	0	0	0	0	0	0.21114	0	0.20535	0.21379	0.06009	0.083	1.00199
Bifidobacterium_bifidum	0	0	0	0	0	0	0	0.02312	0	0	0.06027	0	0	0	0	0	0.02117	0	0.02691	0.23141	0	0	0
GGB9291_SGB14248	0	0	0	0	0	0	0	0	0	0	0.05961	0	0	0	0	0	0	0	0	0	0	0	0.07176
Candidatus_Saccharibacteria_unclassified_SGB19850	0	0	0	0.09246	0	0.01533	0	0.14293	0.0279	0	0.05832	0.02919	0	0.06749	0	0	0.0054	0	0	0	0.01406	0	0.01105
Faecalibacillus_intestinalis	0	0.171	0	0	0	0	0.00047	0.09476	0	0	0.05633	0	0.03512	0	0	0	0	0.18711	0.13149	0.02188	0.03442	0.04699	0
Faecalicatena_fissicatena	0	0	0	0	0	0	0	1.01787	0.0644	0	0.05509	0.13558	0.01861	0.5627	0	0.14869	0	0.12698	1.09416	0	0.01599	0.2155	0
GGB9581_SGB14999	0	0.21249	0	0.01874	0	0.00403	0	0.02925	0	0	0.05471	0.0027	0	0.06066	0	0	0	0.00294	0.01713	0	0.00584	0	0
GGB9633_SGB15090	0	0	0.91274	2.38812	0	0	2.70632	0	0	0	0.05239	0	0.07236	0	0	0	0	0	0	0	0	0	0
Holdemanella_biformis	0	0	0	0	0	0	0	0	0.00276	0	0.0516	0	0	0	0	0	0	0	0	0	0	0	0
GGB4599_SGB6362	0	0	0	0	0	0	0	0	0	0	0.04878	0	0	0	0	0	0.0564	0	0.49149	0	0	0	0
Adlercreutzia_equolifaciens	0	0	0	0	0	0	0	0	0	0	0.04124	0	0	0	0	0	0	0.00199	0	0	0	0	0
Streptococcus_mitis	0	0.00107	0	0	0	0	0	0	0	0	0.0365	0	0	0.00306	0	0	0	0	0	0	0	0.00415	0
Lachnospiraceae_unclassified_SGB4894	0	0	0	0	0	0	0.007	0	0	0	0.03499	0	0	0	0	0	0.04546	0	0	0	0	0	0
Prevotella_histicola	0	0	0	0	0	0	0	0	0	0	0.03045	0	0	0	0	0	0	0	0	0	0	0	0
Bacilli_bacterium	0	0	0	0	0	0	0.24471	0	0.01453	0	0.02989	0	0.24621	0	0	0	0	0	0	0.01773	0	0	0
Veillonella_rogosae	0	0	0	0	0	0	0	0.14978	0	0	0.02825	0	0.01751	0.06407	0	0	0	0	0	0.01614	0	0	0
GGB3256_SGB4303	0	0	0	0	0	0.8514	0.02919	0	0	0	0.0273	0	0	0	0	0	6.45964	0	0.27143	0.01213	0.07367	0.74349	0.02397
Porphyromonas_SGB2042	0	0	0	0	0	0	0	0	0	0	0.02639	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobutyricum_hallii	0	0.10582	0.06598	0.00481	0	0	1.5126	0.13745	0.02874	0	0.02532	0.02018	0	0.08186	0	0.04045	0.00286	0	0.05457	0.01076	0	0.04526	0
Prevotella_jejuni	0	0	0	0	0	0	0	0	0	0	0.02524	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_melaninogenica	0	0	0	0	0	0	0	0	0	0	0.02495	0	0	0	0	0	0	0	0	0	0	0	0
GGB1420_SGB1957	0	0	0	0	0	0	0	0	0	0	0.02491	0.49092	0	0	0	0	0.07898	0	0	0	0	0	0
TM7_phylum_sp_oral_taxon_348	0	0	0	0.00088	0	0	0	0	0.00158	0	0.02141	0	0	0.0035	0	0	0	0	0	0	0	0	0
Alloprevotella_SGB1466	0	0	0	0	0	0	0	0	0	0	0.02085	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_sp_AF36_4	0	0	0	0.26266	0	0.00405	0	0.11028	0	0	0.02033	0	0.11409	0.04073	0	0	0.48576	0.94223	0.52018	0.08646	0.01448	0	0.1065
Tropheryma_whipplei	0	0	0	0.03416	0	0	0	0	0	0	0.01839	0	0	0	0	0	0	0	0	0	0	0	0
Solobacterium_SGB6833	0	0	0	0.00017	0	0.00336	0	0	0	0	0.0182	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus_parainfluenzae	0	0.82525	0	0.02591	0	0.09137	0.01033	0.49081	0	0	0.01783	0	0.06992	0.11943	0	0.00307	0	0.0006	0.16494	0.02738	0.20442	0.03615	0
Clostridia_unclassified_SGB6276	0.01871	0	0	0	0	0.12694	0.00434	0	0.20495	0	0.01718	0	0	0	0	0	0	0.96191	0.16789	0.30449	0	0	0.28335
Eubacterium_ventriosum	0	0	0	0.04185	0	0.01439	0	0.00659	0	0	0.01516	0	0	0.33851	0	0	0.08273	0	0.33462	0.43704	0	0.0047	0
GGB9593_SGB15015	0	0	0	0	0	0	0	0	0	0	0.01497	0	0	0	0	0	0	0	0	0	0	0	0
GGB9707_SGB15229	0	0	0	0	0	0	0	0.12656	0	0	0.01381	0.01297	0	0	0	0	0.10393	0.07576	0.01568	0.04888	0.02028	0.01982	0
GGB9347_SGB14313	0.57715	0	0.02906	0	0	0	0.729	0	0	0	0.01316	0	0	0	0	0	0.52509	0.04696	0	0	0	0	1.67645
Prevotella_pallens	0	0	0	0	0	0	0	0	0	0	0.01259	0	0	0	0	0	0	0	0	0	0	0	0
GGB9597_SGB15022	0	0	0	0	0	0	0	0	0	0	0.01249	0.03228	0	0	0	0	0	0	0	0	0	0	0
Ruthenibacterium_lactatiformans	0.20498	0.66437	0.03334	0.00965	0	0	0.0509	0.0644	0	0	0.01212	0	0	0	0	0.0696	0.07505	0.03115	0.06479	0	0.02625	0.02708	1.06375
Veillonella_sp_3627	0	0	0	0	0	0	0	0	0	0	0.00986	0	0	0	0	0	0	0	0	0	0.07803	0	0
GGB4769_SGB6602	0	0	0	0	0	0	0	0	0	0	0.00976	0	0	0	0	0	0	0	0	0	0	0	0
Gemmiger_SGB15299	0	0	0	0	0	0.03734	0	0	0	0	0.00942	0	0	0	0	0	0	0	0.00149	0	0	0	0
Lachnospira_pectinoschiza	0	0	0.30815	0	0	0	0	0	0.01867	0	0.00896	0	0.13293	0.93155	0	0	0	0	0.1141	0	0.60239	0	0.04358
Sphingobacterium_multivorum	0	0	0	0	0	0	0	0	0	0	0.00826	0	0	0	0	0	0	0	0	0	0	0	0
Granulicatella_adiacens	0	0	0	0	0	0	0	0	0	0	0.00795	0	0	0	0	0	0	0	0	0	0	0	0
GGB9705_SGB15224	0	0	0.09818	0	0	0	0.00277	0.08669	0	0	0.00789	0	0	0	0	1.98787	0.1083	0.07621	0.04658	0.00413	0.1401	0	0
Ruminococcus_bicirculans	0.01067	0.18578	0	0	0	0	0	0.33404	0	0	0.00654	0.03861	0.73982	0.0384	0	0.25806	0.03241	0.15226	0.22285	0.24359	0	0.12999	0
Abiotrophia_sp_HMSC24B09	0	0	0	0	0	0	0	0	0	0	0.00642	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria_cinerea	0	0	0	0	0	0	0	0	0	0	0.00604	0	0	0	0	0	0	0	0	0	0	0	0
GGB4651_SGB6438	0	0	0	0	0	0	0	0	0	0	0.00513	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcaceae_unclassified_SGB15233	0	0	0.02374	0	0	0	0.65073	0	0	0	0.00486	0	0	0	0	0	0.06947	0.23481	0.00176	0	0.02332	0	0
Prevotella_nanceiensis	0	0	0	0	0	0	0	0	0	0	0.00411	0	0	0	0	0	0	0	0	0	0	0	0
GGB4554_SGB6285	0	0	0	0	0	0	0	0	0	0	0.00393	0	0	0	0	0	0	0	0	0	0	0	0
GGB6127_SGB8773	0	0	0	0	0	0	0	0	0	0	0.00318	0	0	0	0	0	0	0	0	0	0	0	0
GGB9608_SGB15041	0	0	0	0	0	0	0	0	0	0	0.00308	0	0	0	0	0	0.04071	0	0	0.01999	0	0	0
Dorea_sp_AF24_7LB	0	0	0.00364	0	0	0	0	0	0	0	0.00227	0	0	0.00468	0	0.10935	0	0	0.03525	0	0	0	0
Streptococcus_sp_263_SSPC	0	0	0	0.00204	0	0.02451	0	0.01059	0	0	0.00201	0	0	0	0	0	0	0	0	0	0	0	0
Parasutterella_excrementihominis	0.00344	0	0.00643	0.3792	0	0	0	0	0	0	0.00195	0	0.08711	0.23751	0	0	0	0.0891	0.06392	0.02444	0.07526	1.12977	0
GGB6128_SGB8774	0	0	0	0	0	0	0	0	0	0	0.00161	0	0	0	0	0	0.32381	0	0	0	0	0	0
Dysosmobacter_welbionis	0.26734	0	0	0.06998	0	0.09127	0.028	0.01524	0	0	0.00155	0.04503	0.08402	0.02162	0	0.25171	0.29694	0.13925	0.06679	0.00572	0.11186	0.38563	0
Bacteroidaceae_unclassified_SGB1468	0	0	0	0	0	0	0	0	0	0	0.00145	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_sp_AF34_10BH	0	0.25158	0	1.84976	0	0.56511	0	0.01659	0	0	0.00144	1.08579	4.33797	0.47345	0	0.13458	0.51288	0.6446	0.12882	0.29948	0.28155	3.46264	0
GGB12796_SGB19893	0	0.00331	0	0	0	0	0	0	0	0	0.00102	0	0	0	0	0	0	0	0	0	0	0	0
GGB38171_SGB72433	0	0	0	0	0	0	0	0	0	0	0.00099	0	0	0	0	0	0	0	0	0	0	0	0
Lacrimispora_amygdalina	0	0.39684	0.00091	0.24213	0	0.12995	0	0.01745	0.01117	0	0.00073	0.16581	0.07138	0.07034	0	0	0.01231	0.2136	0.13098	0.11259	0.0455	0.05739	0
Clostridium_sp_AM33_3	0	0	0.01932	0.06154	0	0.01746	0	0.03093	0.00397	0	0.00066	0.17337	0.0595	0	0	0	0.10348	0.08491	0.07591	0.02343	0.02469	0.01387	0
GGB9237_SGB14179	0	0	0.00631	0	0	0	0.01653	0	0	0	0.00025	0.02664	0.01536	0	0	0	0	0	0	0	0	0	0.0488
GGB6613_SGB9347	0	0	0	0	0	0	0	0	0	0	0	4.54683	0	0	0	0	1.40028	0.2824	0	0	0	0	0
Alphaproteobacteria_bacterium	0	0	0	0	0	0	0	0	0	0	0	0.95065	0	0	0.70983	0	0	0	0	0	0	0	0
Rikenellaceae_unclassified_SGB2230	3.91797	0	0	0	0	0	10.26644	0	0	0	0	0.25804	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_eggerthii	0.44856	0	26.06182	0	0	0	0	0	0	0	0	0.1451	0	0	0	0	0	0	2.34411	0	0	0	0.08436
Bacteroides_timonensis	0	0	0	0	0	0	0	0	0	0	0	0.1406	0	0	0	0	0	0	0	0	0	0	0.18532
Coprobacter_fastidiosus	0.04031	0	0	0	0	0	0	0	0	0	0	0.12332	0	0	0	0	0	0	0	0	0	0	0
Clostridiaceae_bacterium	0.08926	0.00561	0.09124	0.20056	0	0	0.10513	0.04497	0	0	0	0.04973	0.06559	0.02445	0	0	0.02832	0.27022	0.3044	0.03958	0.03582	0.11514	0
GGB9615_SGB15051	0	0	0	0	0	0	0	0	0	0	0	0.03747	0	0	0	0	0	0	0	0.02836	0	0	0
Clostridiales_unclassified_SGB15145	0	0.11695	0	0	0	0	0	0.00333	0	0	0	0.03601	0.06835	0	0	0	0	0.02121	0.05035	0.0109	0.01298	0	0
Clostridia_unclassified_SGB4121	0	0	0.07767	0	0	0	0	0.03008	0	0	0	0.02843	0	0	0	0.00952	0	0	0.07589	0	0	0	0.05969
GGB3571_SGB4778	0	0	0	0	0	0	0	0.0477	0	0	0	0.0278	0.0009	0	0	0	0	0.04926	0.01216	0.0187	0.01058	0	0
Lachnospira_sp_NSJ_43	0	0	0	0	0	0	0	0.0063	0	0	0	0.02247	0	0.03738	0	0.108	0.26987	0.58412	0	0	0.01703	0.00961	0.00182
GGB9621_SGB15073	0	0	0	0	0	0	0	0	0	0	0	0.01979	0	0	0	0	0	0	0	0	0	0	0
GGB9614_SGB15049	0	0	0	0	0	0	0	0.03373	0	0	0	0.01686	0.03714	0.16173	0.13214	0	0.05564	0.09127	0.02078	0.00578	0.05002	0.05175	0
GGB9705_SGB15225	0	0	0.0002	0.10425	0	0	0	0.03135	0	0	0	0.01201	0.1405	0.01199	0	0.12761	0.11117	0.084	0.00566	0	0.02114	0.03406	0
GGB9627_SGB15081	0.00426	0	0.01803	0	0	0	0.15603	0.07565	0	0	0	0.00904	0	0	0	0	0	0	0.0203	0	0	0	0
Clostridium_phoceensis	0	0	0	0.01167	0	0	0	0	0	0	0	0.00732	0	0	0	0	0.03455	0	0	0	0.00844	0.02929	0
Blautia_sp_OF03_15BH	0	0	0	0	0	0	0	0	0	0	0	0.00696	0	0	0	0	0	0	0	0.06505	0	0	0
GGB1215_SGB1581	0	0	0	0	0	0	0	0	0	0	0	0.00407	0	0	0	0	0	0	0	0	0	0	0
GGB9557_SGB14966	0	0	0	0.00805	0	0	0	0	0	0	0	0.00358	0	0	0	0.00808	0.0211	0	0	0	0.00126	0	0
Clostridiaceae_unclassified_SGB4769	0	0	0	0	0	0	0.01831	0	0	0	0	0.00356	0	0	0	0	0	0	0.00994	0	0	0	0
Phascolarctobacterium_faecium	0	0	0	0	0	0	0	1.48746	0	0	0	0	1.87353	0	0.96037	3.44319	3.59504	1.07123	0.04908	0.00655	1.02455	1.46827	0.1595
Pseudoruminococcus_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	1.10735	0	0	0	0	0	0	0	0	0	0
GGB6612_SGB9346	0	0	0	0	0	0	0	0	0	0	0	0	0.46339	0	0	0	0	0	0	0	0	0	0
Roseburia_sp_AF02_12	0.02731	0	0	0	0	2.79037	0	0	0.01587	0	0	0	0.3251	0	0	0.00762	0	0	0.56411	0.22084	0.0263	0.20362	0.00489
Ruminococcaceae_unclassified_SGB15260	0.07087	0	0.32719	0.15809	0	0	0	0.2293	0	0	0	0	0.31424	0	0	0	0	0	0	0.03428	0.29553	0	0
Bacilli_unclassified_SGB6478	0	0	0	0	0	0	0	0	0	0	0	0	0.3015	0	0	0	0	0	0	0.21497	0	0	0
Clostridium_sp_AF34_13	0	0	0	0	0	0	0	0	0	0	0	0	0.2513	0.54362	0	0	0	0	0	0	0.02248	0	0
Ruminococcaceae_unclassified_SGB4425	0	0	0	0	0	0	0	0	0	0	0	0	0.13631	0	0	0.1249	0	0.08455	0	0	0	0	0
Clostridiales_bacterium_KLE1615	0	0	0.00611	0.00257	0	0.00881	0	0.01823	0	0	0	0	0.10669	0.18626	0	0.00673	0.01612	0.02026	0.18211	0.14604	0.00565	0.01625	0
Parasutterella_SGB9260	0	0	0	0	0	0	0	0	0	0	0	0	0.10325	1.35584	0	0	0	0	0	0	0	0	0
GGB9634_SGB15093	0	0	0.01981	0	0	0	0	0	0.0022	0	0	0	0.09528	0.17367	0	0	2.86093	0.47726	0.41027	0	0.88807	0.0496	0
Turicibacter_sanguinis	0	0	0	0	0	0	0	0.00207	0	0	0	0	0.07413	0	0	0	0	0	0	0	0.0135	0	0
GGB3118_SGB4130	0	0	0	0	0	0	0	0	0	0	0	0	0.06985	0	0	0	0	0	0	0	0	0	0
Clostridium_sp_AM49_4BH	0	0	0	0	0	0	0	0.05469	0	0	0	0	0.05758	0	0	0	0.08825	0.18744	0.06688	0	0	0.27317	0.00318
Butyricicoccus_sp_AM29_23AC	0	0	0	0	0	0	0	0.15331	0	0	0	0	0.05602	0.17545	0	0	0.21713	0.52998	0.33104	0.02211	0.06659	0.02618	0
Eubacterium_sp_AF15_50	0	0	0.00154	0	0	0	0	0	0	0	0	0	0.05339	0	0	0	0	0.02469	0.49535	0.00383	0	0	0.06004
Blautia_faecicola	0	0	0	0	0	0	0	0.00652	0	0	0	0	0.05044	0.2008	0	0	0	0.00876	0	0	0	0	0
Blautia_sp_AF19_10LB	0	0	0	0	0	0	0	0	0	0	0	0	0.03934	0.51434	0	0	0	0.01747	0	0	0	0	0
GGB29535_SGB42321	0	0	0	0	0	0	0	0	0	0	0	0	0.03393	0	0	0	0	0	0	0	0	0	0
GGB9667_SGB15164	0	0	0	0	0	0	0.0255	0	0	0	0	0	0.03302	0	0	0.01267	0.07364	0.00122	0	0	0	0.28018	0.03443
GGB9615_SGB15052	0	0	0	0	0	0	0	0.01564	0	0	0	0	0.03143	0	0	0	0	0	0	0	0	0	0
GGB34228_SGB72916	0	0	0	0	0	0	0	0	0	0	0	0	0.02887	0	0	0.02765	0	0.02324	0.07143	0	0	0	0
Clostridiaceae_bacterium_OM08_6BH	0	0	0	0.01723	0	0.03107	0	0.00666	0	0	0	0	0.0279	0.10228	0	0.00144	0	0.00275	0	0.0179	0	0.00721	0
Clostridia_unclassified_SGB6371	0	0	0	0	0	0	0	0	0	0	0	0	0.02297	0	0	0	0	0	0.01352	0	0	0	0
Roseburia_hominis	0	0.14876	0	0.05998	0	0.02406	0	0.23871	0	0	0	0	0.01968	0	0	0.04879	0.02391	0.05082	0.10933	0.09746	0.0009	0.07643	0
Clostridium_sp_AF27_2AA	0	0.00616	0	0	0	0.00473	0	0	0	0	0	0	0.01681	0.13341	0	0	0.01897	0.03122	0	0.0018	0	0.03284	0
GGB6649_SGB9391	0.01598	0	0	0	0	0	0	0	0	0	0	0	0.01291	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_pseudocatenulatum	0	0	0.25745	0	0	0	0.01501	0	0	0	0	0	0.01218	0.11858	0	0	0	0	0.03214	0	0	0	0
Streptococcus_salivarius	0	0	0.03432	0.04388	0	0	0	0.05064	0	0	0	0	0.01111	0.05591	0	0	0.0181	0	0	0	0.10273	0.0509	0.03853
Intestinimonas_gabonensis	0	0	0	0.01571	0	0	0	0	0	0	0	0	0.00397	0	0	0.00732	0.00653	0	0	0	0.00175	0.00311	0
Dysosmobacter_sp_NSJ_60	0.00299	0	0	0.01015	0	0.00093	0	0.00545	0	0	0	0	0.00342	0	0	0.03015	0.02013	0.01897	0.01119	0	0.00936	0.01652	0
GGB9522_SGB14921	0.00881	0	0	0	0	0	0.01149	0.01199	0	0	0	0	0.00171	0	0	0.01753	0	0.01986	0.0264	0	0.06083	0.00538	0.24301
Clostridiales_bacterium	0	0	0	0.05026	0	0	0	0	0	0	0	0	0.00075	0	0	0.02634	0.00219	0.02623	0.00864	0	0.03119	0.11705	0
GGB3614_SGB4886	0	0	0	0	0	0.08977	0	0	0	0	0	0	0.00072	0	0	0	0	0	0	0	0	0	0.00578
Dialister_invisus	0	1.26497	0	0	0	4.81882	0	0	0	0	0	0	0	0.39565	0	0.20006	0	0	0	8.06289	0	0	0.10369
Bifidobacterium_longum	0.07145	0.06922	0.032	0	0	0	0.56986	0.01418	0	0	0	0	0	0.3155	0	0.03376	0.07547	0	0.04672	0	0	0	0.14489
Faecalibacillus_faecis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12231	0	0	0	0	0	0	0	0	0
Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07002	0	0	0	0	0	0	0.0159	0	0
Evtepia_gabavorous	0	0.04451	0	0.018	0	0	0.10637	0.07914	0	0	0	0	0	0.06172	0	0.02673	0	0.00735	0.04731	0.02404	0.00184	0.01075	0
Clostridium_spiroforme	0	0.00446	0	0	0	0	0	0.21309	0	0	0	0	0	0.05474	0	0.03778	0	0	0.17339	0.0219	0	0	0
Bacilli_unclassified_SGB6540	0	0	0	0	0	0	0	0.17071	0	0	0	0	0	0.04821	0	0	0	0	0	0	0	0	0
Clostridia_unclassified_SGB4447	0	0	0	0.01742	0	0	0	0	0	0	0	0	0	0.04088	0	0	0	0	0.04739	0	0	0	0
Lachnospira_SGB5076	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03655	0	0	0	0	0	0.15105	0	0	0
Eubacteriaceae_bacterium	0	0	0	0	0	0	0.0129	0	0	0	0	0	0	0.03559	0	0	0	0.25588	0.1725	0	0.01961	0	0
Streptococcus_sanguinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02411	0	0	0	0	0	0	0	0	0
Megasphaera_elsdenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108	0	0	0	0	0	0	0	0	0
Clostridium_sp_NSJ_42	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0.00658	0	0	0	0	0.03764	0	0	0	0
Blautia_schinkii	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00215	0	0	0	0	0	0	0	0	0
Slackia_isoflavoniconvertens	0	0	0	0	0	0	0	0.02414	0	0	0	0	0	0.00155	0	0	0	0	0	0	0	0	0
Fusobacterium_pseudoperiodonticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00148	0	0	0	0	0	0	0	0	0
Dialister_hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26636	0	0	0	0.17246	0	0	0	0
Victivallis_vadensis	0	0	0	0	0	0	0.22907	0	0	0	0	0	0	0	0	1.22121	0.03167	0.38582	0	0.14277	0.03754	0.03095	0
Akkermansia_sp_KLE1605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04771	0	0	0.25982	0	0	0	27.27178
Ruminococcus_sp_NSJ_71	0	0	0	0	0	1.39513	0	0	0	0	0	0	0	0	0	0.67426	0	0	0	0	0	0	0
GGB3293_SGB4348	0	0.95475	0	0.81664	0	0	0.40084	0	0.01871	0	0	0	0	0	0	0.49957	0	0	0	0	0	0	0
Anaerotignum_lactatifermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33238	0	0	0	0	0	0	0
GGB9501_SGB14898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22818	0	0	0	0	0	0	0
Clostridium_sp_AF15_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2131	0	0	0.27612	0	0	0	0.52602
Acidaminococcus_timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12421	0	0	0	0	0	0	0
Porphyromonas_bennonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11455	0	0	0	0	0	0	0
Intestinimonas_butyriciproducens	0.07782	0	0.00497	0.0708	0	0	0	0	0	0	0	0	0	0	0	0.11127	0	0	0	0	0.00037	0	0.05619
Flavonifractor_sp_An10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11094	0	0	0	0	0	0	0
GGB4487_SGB6184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06035	0	0	0	0	0	0	0
Bacteroides_nordii	0.44316	0	0.00281	0.05678	0	0	0	0.27172	0	0	0	0	0	0	0	0.04864	0	0	0	0	0	0.15696	0.49568
GGB9620_SGB15068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0261	0	0	0	0	0	0	0
Clostridiaceae_bacterium_NSJ_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02495	0	0	0	0	0	0	0
Christensenellaceae_bacterium	0.00068	0	0.03907	0.01148	0	0	0	0	0	0	0	0	0	0	0	0.02104	0	0	0	0	0	0	0.00927
Megasphaera_hexanoica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01393	0	0	0	0	0	0	0
Candidatus_Geddesella_stercoravicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01211	0	0	0	0	0	0	0
GGB9186_SGB14125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01073	0	0	0	0	0	0	0
GGB33516_SGB54347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01019	0	0.01234	0	0	0	0	0
Blautia_sp_MSK_20_85	0	0	0	0	0	0	0.26429	0.02534	0	0	0	0	0	0	0	0.00893	0.00312	0	0	0	0	0	0
Clostridiaceae_bacterium_NSJ_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00702	0	0	0	0	0	0	0
Prevotella_buccalis	0.01216	0	0.00212	0	0	0	0	0	0	0	0	0	0	0	0	0.00702	0	0	0	0	0	0	0
Fenollaria_timonensis	0	0	0.00458	0	0	0	0	0.03903	0	0	0	0	0	0	0	0.00431	0	0	0	0	0	0	0.03993
Holdemania_massiliensis	0	0	0.00036	0	0	0	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0
Anaerotruncus_rubiinfantis	0.06995	0	0	0	0	0	0.01078	0.00082	0	0	0	0	0	0	0	0.00268	0	0	0	0	0	0	0
GGB4698_SGB6498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30307	0	0	0	0	0	0
GGB9176_SGB14114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26559	0	0	0	0	0.41519	0.23624
Bacilli_unclassified_SGB6502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22169	0	0	0	0	0	0
GGB4676_SGB6465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17375	0	0	0	0	0	0
GGB4549_SGB6271	0	0	0	0	0	0	0.9978	0	0	0	0	0	0	0	0	0	0.15964	0	0	0	0	0	0
Bacilli_unclassified_SGB6422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15473	0	0	0	0	0	0
Ruminococcaceae_unclassified_SGB4191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08726	0	0.02266	0	0	0.02848	0
GGB4588_SGB6347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03085	0	0.09933	0	0	0	0
Candidatus_Methanomassiliicoccus_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02726	0	0	0	0	0	0.60386
Flavonifractor_plautii	0.25581	0.32559	0.01204	0.16974	0	0.04858	0.04768	0.07528	0	0	0	0	0	0	0	0	0.0173	0	0.06985	0	0.03225	0.05075	0
GGB52930_SGB73859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01218	0.00082	0	0	0	0	0
GGB9694_SGB15203	0.08123	0	0	0	0	0	0.09806	0	0	0	0	0	0	0	0	0	0.01189	0	0	0	0	0	0.00385
GGB9619_SGB15067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00168	0	0	0	0.04359	0	0
Muribaculum_gordoncarteri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.71937	0	0	0	0	0
GGB4669_SGB6458	0	0	0	0	0	0	0.71901	0	0	0	0	0	0	0	0	0	0	1.39443	0	0	0	0	0
GGB4768_SGB6601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68183	0.59299	0	0	0	0
