Group	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
clade_name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	5.89821	3.48864	2.19202	1.23729	0	0.17247	29.99662	1.43488	0.49545	17.1724	17.57424	1.28541	2.52269	0.91976	0.16316	13.37283	8.83733	10.00415	3.13702	4.81402	1.3054	2.71167	17.52878
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.2674	4.64945	0.54567	1.00907	0	0	0.15871	3.14437	0.01431	3.38967	5.83945	1.62278	0.20328	1.59334	6.84065	2.32681	0.71932	1.12404	1.48421	0.6574	0.99442	1.25131	0.01016
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.3168	1.67676	0.00463	0.24275	12.26747	5.07284	0	0.19285	0.04982	2.82004	0.47347	0	0.01751	0.56126	0.59051	0.21398	0	0.00371	0.3167	8.14043	2.55907	0.34619	0.10369
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	6.45392	0.04601	0.06861	0.34014	8.06877	0.24063	0	0.40934	0	2.05027	0	0	0	0.00375	0	0.21381	0	0	0.45158	0.25151	0.18354	0.00156	0.24471
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.20611	0.20603	0.0815	0.00017	0	0.05713	0.11286	0.56103	0.00947	0.85172	0.12613	0	0.10926	0.17705	0	0.04112	0	0.18711	0.56178	0.04378	0.04792	0.04699	0.37773
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.01187	0.06432	0.29893	0.09265	0	0.00943	0.16824	0.26034	0.00657	0.65196	0.06751	0	0	0.0176	0	0.20195	0.13629	0.76692	0.47245	0.12815	0.03912	0	0.28163
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.14259	0	0.29425	1.15161	0	0	0.32321	1.48746	0	0.40457	0.62098	0.60018	1.87353	0	0.96037	3.5674	3.59504	1.07123	0.08206	0.00655	1.02455	1.46827	0.1595
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0	0.07961	0.03432	0.20549	49.24307	0.03917	0.05589	0.09291	0.06772	0.31189	0.09252	0	0.01111	0.08537	0	0.35489	0.0181	0.01234	0	0.02964	0.11258	0.0606	0.03853
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Lentisphaeria_unclassified	0.33294	0	0	0	0	0	0.60961	0	0	0.30739	0.06121	0.00259	0.05434	0	0	0.41661	0.04833	0.56282	0	0.1983	0	0.79357	0.61839
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1.04505	0	0.37753	0.45946	0	0	0.48658	0.18582	0.04051	0.30369	0.38652	0.13035	0.12147	0	0	0.18533	0.13673	0.17178	0.35778	0.11063	0.10712	0.20538	1.07699
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified	0.57508	0	0	0	0	0	1.56808	0.17071	0.02041	0.08566	6.40114	0	0.54771	0.04821	0	0	0.85324	1.75939	0	0.23271	0	1.96107	0.38505
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.07145	0.06922	0.28945	0.09971	24.95474	0	1.62727	0.0373	0.05663	0.08555	0.06027	0	0.01218	0.43408	0	0.05615	0.28726	0.08438	1.34958	0.23141	0	0	0.41839
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	1.97181	0	0	4.92399	0	0.28433	1.0873	0	0	0.0787	3.27625	0	0	0	0	1.04771	0.58911	0.68603	0.25982	0	0	0.093	27.27178
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales	0	0	0	0	0	0	0.26441	0	0	0.05363	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0	0	0.0885	0	0	0	0	0	0	0.03955	0	0	0.02169	0	0	0	0	0	0	0	0	0	0
