Group	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
clade_name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__SGB4575	0	0.0737	0.0241	0.00491	0	0.0202	0.01336	0.19615	0	0.05981	0.00398	0.13089	0	0.10916	0	0.00422	0	0.10613	0.14619	0.05131	0.00026	0.00954	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__SGB4582_group	0	0.04826	0.08301	0.00811	0	0	0	0.26216	0	0.05905	0.00126	0.04674	0.0232	0.28675	0	0	0	0.13245	0.02293	0.00577	0.00493	0.00815	0.00909
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_SGB4815|t__SGB4815_group	0	0	0.0462	0	0	0	0.00624	0.3598	0	0.05763	0	0.0075	0	0	0	0	0	0.02816	0.05014	0	0	0.00668	0.03669
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales|f__Pirellulaceae|g__GGB6566|s__GGB6566_SGB9275|t__SGB9275	0	0	0	0	0	0	0	0	0	0.05363	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_AF36_15AT|t__SGB4552_group	0.02871	0	0.07248	0	0	0	0.02165	0.00577	0	0.05139	0	0.00829	0	0.00833	0	0.00391	0	0.02752	0	0	0	0.01106	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum|t__SGB4811_group	0	0.20233	0.18879	0.0718	0	0	0.00344	0.53894	0.05109	0.05086	0.18136	0.30476	0	0.09408	0	0.00529	0	0.08945	1.08622	0.24757	0.02589	0.23685	0.18961
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB3746|s__GGB3746_SGB5089|t__SGB5089	0	0	0	0	0	0	0	0	0	0.04862	0	0	0	0	0	0	0.51984	0.15303	0.48487	0.03251	0.34098	0.13641	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|t__SGB8071	0	0	0	0.1268	0	0.01466	0.00483	0	0	0.04753	0.03964	0	0	0.00229	0	0	0	0	0	0	0	0.00555	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium|t__SGB15384	0	0	0	0	0	0	0	0	0	0.0435	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis|t__SGB4925	0.01931	1.04375	0.04107	0	0	0	0	1.3138	0	0.04294	0.0383	0	0	1.83369	0.05787	0	0.01873	0	4.05389	0	0.14306	2.16261	0.08805
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas_funiformis|t__SGB6962_group	0	0	0.0885	0	0	0	0	0	0	0.03955	0	0	0.02169	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9632|s__GGB9632_SGB15089|t__SGB15089	0	0	1.71395	0	0	0.09869	0.03688	0.17564	0	0.03893	0	0.10363	0	0.00958	0	0.19307	0	0.01846	0.32074	0.02248	0.00655	0	0.00444
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella|s__Trueperella_pyogenes|t__SGB17137	0	0	0.00138	0	0	0	0	0.02452	0	0.0375	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale|t__SGB4933_group	0.30055	0.07593	1.39631	0.19228	0	0.01065	0.01584	3.47783	0.41571	0.03589	0.01413	0.03317	0.06768	1.08107	0	0.10027	5.22437	6.11904	23.83731	4.05033	0.88172	0.5009	0.06598
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium|t__SGB4395	0	0	0	0	0	0	0	0	0	0.02911	0	0	0	0	0	0	0.00117	0	0	0	0	0	0.00736
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola|s__Phocaeicola_coprocola|t__SGB1891_group	0	0	0	0	0	0	0.02273	0	0	0.02691	0.06628	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium|t__SGB15370	0	0	0.01404	0	0	0	0.01409	0.07599	0	0.02591	0	0.04388	0.12557	0	0	0.01207	0.03382	0.01046	0	0.0012	0.01825	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__SGB16986	0	0	0	0	0	0	0	0	0	0.02459	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Senegalimassilia|s__Senegalimassilia_anaerobia|t__SGB14824_group	0.00215	0	0.05646	0	0	0	0.01071	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB14899	0.00312	0	0	0	0	0	0	0	0	0.02324	0	0	0	0	0	0	0.02162	0.0631	0.036	0.05181	0.0238	0.0346	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__SGB4540_group	0	0.04272	0.04322	0.2177	0	0	1.44817	1.70703	0.11304	0.02097	0	0.08228	0.04973	0.26946	0.04449	0.34962	0	0.10229	0.16839	0	0.00183	0.18715	0.12018
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_timonensis|t__SGB6148	0	0	0	0.00289	0	0.00068	0	0.0178	0	0.02093	0	0	0	0	0.31072	0.02807	0	0	0.03588	0	0.03025	0	0.00955
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_ER4|t__SGB15254	0	0	0.16326	1.75692	0	0	0.03022	0.91172	0.01114	0.02077	0.05263	0.02985	0.73213	1.3041	0.22479	3.51992	0.35405	1.09889	0.44569	1.32132	1.58623	0.99593	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_butyricigenes|t__SGB25493	0	0	0.00098	0	0	0	0	0.02157	0	0.02072	0	0.00247	0	0	0	0	0	0	0	0	0	0	0.00391
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_SGB4831|t__SGB4831_group	0	0	0.02712	0	0	0	0	0.07184	0.00771	0.01973	0	0	0	0	0	0.01209	0	0	0.00433	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibiobacter|s__Candidatus_Cibiobacter_qucibialis|t__SGB15286	0.06174	0	0.18757	0.07066	0	0.15436	0.23603	1.48967	0.00761	0.01968	0.1555	0.27494	1.45875	1.67006	0	1.5469	0.30517	2.95499	4.34496	1.55479	0.02082	2.49388	0.80809
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_AF16_15|t__SGB4993	0	0.03308	0.03617	0	0	0.02576	0	0.12728	0	0.01958	0	1.34155	3.11463	0.40304	0	0.06511	0.46039	0.86782	0.63136	0.83523	0.49443	1.7877	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens|t__SGB14993_group	0	0.052	0.03576	0.00935	0	0.12074	0	0.0616	0.00199	0.01856	0.00363	0.17051	0	0.02442	0	0.02273	0.01176	0.01968	0.08234	0.02562	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium|t__SGB14263	0.02635	0	0	0	0	0	0.02114	0	0	0.0185	0	0	0	0	0	0	0	0	0.01833	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium|t__SGB4781	0	0	0.02618	0	0	0	0	0.01642	0	0.01692	0.00211	0	0	0.0007	0	0	0	0	0.04723	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF20_17LB|t__SGB4714	0	0	0	0.01726	0	0.03967	0	0.01267	0	0.01477	0	0.17253	0.15577	0.10497	0	0	0.00895	0.14811	0.06436	0.04846	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_celerecrescens|t__SGB4868	0	0	0.06107	0	0	0.0081	0	0	0	0.0145	0	0.02455	0	0	0	0.09299	0	0	0.04571	0.20781	0.02057	0.15638	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella_histaminiformans|t__SGB5843	0	0	0	0	0	0.04315	0	0	0	0.01402	0	0	0	0	0	0	0	0	0	0.02569	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_bouchesdurhonensis|t__SGB14397	0	0.01096	0	0	0	0	0	0	0	0.01384	0.00513	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9730|s__GGB9730_SGB15291|t__SGB15291	0	0	0	0.01796	0	0.05993	0	0.02292	0.04414	0.01361	2.63769	0	0	0	0	0	0.04745	0.05901	0.13951	0.0745	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Sanguibacteroides|s__Sanguibacteroides_justesenii|t__SGB1776	0	0	0	0	0	0	0	0	0	0.01026	0	0	0	0	0	0	0.04022	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_SGB5077|t__SGB5077	0	0.00373	0	0.05672	0	0	0	0	0	0.00968	0.02315	0	0	0	0.2066	0	0	0.34999	0.49445	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AF17_16|t__SGB2326	0.11372	0	0	0	0	0.00481	0	0	0	0.00795	0	0	0	0	0	0.38975	0.04325	0	0.04594	0	0.05007	0.10434	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_sp_An120|t__SGB15277	0	0	0	0	0	0	0.00881	0	0	0.00694	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcaceae_unclassified|s__Peptococcaceae_bacterium|t__SGB4060	0	0	0	0	0	0	0	0	0	0.00589	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_secundus|t__SGB1962	0.6721	0	0	0	0	0	0	0	0	0.0047	0	0.01137	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM22_11AC|t__SGB4749	0.02477	0	0.05361	0.05369	0	0.11403	0	0.0006	0.05938	0.00447	0	0.25682	0.04121	0.10565	0.03742	0	0.12698	0	0.01586	0.05477	0.00496	0.02182	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerotignum|s__Anaerotignum_faecicola|t__SGB5190	0	0.98512	0.00966	0.28494	0	0	0	0.21963	0	0.00256	0.06207	0.079	0.06113	0	0	0	0.0352	0.22285	0	0.282	0.01194	0.02264	0.14748
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium|t__SGB4750	0	0	0.03783	0.12027	0	0.0605	0.00592	0.06377	0	0.00182	0.00482	0.01122	0	0	0	0	0.16873	0.04583	0.0443	0.01559	0	0.02359	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales|f__Candidatus_Borkfalkiaceae|g__Candidatus_Borkfalkia|s__Candidatus_Borkfalkia_ceftriaxoniphila|t__SGB14027	0	0	0.25222	0.02789	0	0	0	0.00603	0	0.00077	0	0	0.08085	0	0	0	0.34851	0.02877	0	0	0	0.09403	0.02907
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB2977|s__GGB2977_SGB3959|t__SGB3959	0.00131	0	0	0	0	0	0	0	0	0.0007	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota	0	0	0	0	0	0	0	0	0	0	1.67216	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Eukaryota_unclassified	0	0	0	0	0	0	0	0	0	0	1.67216	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes	0	0	0	0	0	0	0	0	0	0	0.35817	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria	0	0.00331	0	0.09335	0	0.01533	0	0.14557	0.03219	0	0.08075	0.02919	0	0.07099	0	0	0.0054	0	0	0	0.01406	0	0.01105
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	0	0	0	0	0	0	0	0	0	0	1.67216	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes	0	0	0	0	0	0	0	0	0	0	0.35817	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	0	0.00331	0	0.09335	0	0.01533	0	0.14293	0.02948	0	0.08075	0.02919	0	0.07099	0	0	0.0054	0	0	0	0.01406	0	0.01105
k__Bacteria|p__Firmicutes|c__CFGB2950	0	0	0	0	0	0	0	0	0	0	0.05961	0	0	0	0	0	0	0	0	0	0	0	0.07176
k__Bacteria|p__Firmicutes|c__CFGB3053	0	0.21249	0	0.01874	0	0.00403	0	0.02925	0	0	0.05471	0.0027	0	0.06066	0	0	0	0.00294	0.01713	0	0.00584	0	0
k__Bacteria|p__Firmicutes|c__CFGB1340	0	0	0	0	0	0.8514	0.02919	0	0	0	0.0273	0	0	0	0	0	6.45964	0	0.27143	0.01213	0.07367	0.74349	0.02397
k__Bacteria|p__Bacteroidetes|c__CFGB602	0	0	0	0	0	0	0	0	0	0	0.02491	0.49092	0	0	0	0	0.07898	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1798	0	0	0	0	0	0	0	0	0	0	0.00976	0	0	0	0	0	0	0.68183	0.59299	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0	0	0	0	0	0	0	0	0	0	0.00826	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Opitutae	0	0	0	0	0	0	0	0	0	0	0.00479	0	0	0	0	0	0.32381	0	0	0	0	0	0.33626
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0.00099	5.49748	0.46339	0	0.70983	0	1.40028	0.79315	0.08733	0.0039	0	0	0.14679
k__Bacteria|p__Firmicutes|c__CFGB2916	0	0	0.00631	0	0	0	0.01653	0	0	0	0.00025	0.02664	0.01536	0	0	0	0	0	0	0	0	0	0.0488
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified	0	0	0	0	0	0	0	0	0	0	1.67216	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	0	0	0	0	0	0	0	0	0	0	0.35817	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0	0.0014	0.02018	0	0	0	0	0.05477	0	0	0.29458	0	0	0.00155	0	0	0	0.00199	0	0	0	0	0.01717
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0	0	0	0	0	0	0	0	0	0	0.16479	0	0	0.10806	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	0	0.00331	0	0.09335	0	0.01533	0	0.14293	0.02948	0	0.08075	0.02919	0	0.07099	0	0	0.0054	0	0	0	0.01406	0	0.01105
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0	0	0	0	0	0	0	0	0	0	0.07914	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2950|o__OFGB2950	0	0	0	0	0	0	0	0	0	0	0.05961	0	0	0	0	0	0	0	0	0	0	0	0.07176
k__Bacteria|p__Firmicutes|c__CFGB3053|o__OFGB3053	0	0.21249	0	0.01874	0	0.00403	0	0.02925	0	0	0.05471	0.0027	0	0.06066	0	0	0	0.00294	0.01713	0	0.00584	0	0
k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340	0	0	0	0	0	0.8514	0.02919	0	0	0	0.0273	0	0	0	0	0	6.45964	0	0.27143	0.01213	0.07367	0.74349	0.02397
k__Bacteria|p__Bacteroidetes|c__CFGB602|o__OFGB602	0	0	0	0	0	0	0	0	0	0	0.02491	0.49092	0	0	0	0	0.07898	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0	0.82525	0	0.02591	0	0.09137	0.01033	0.49081	0	0	0.01783	0	0.06992	0.18945	0	0.00307	0	0.0006	0.16494	0.02738	0.22146	0.03615	0
k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798	0	0	0	0	0	0	0	0	0	0	0.00976	0	0	0	0	0	0	0.68183	0.59299	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0	0	0	0	0	0	0	0	0	0	0.00826	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	0	0	0	0	0	0	0	0	0	0	0.00479	0	0	0	0	0	0.32381	0	0	0	0	0	0.33626
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0	0	0	0	0	0	0	0	0	0	0.00099	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2916|o__OFGB2916	0	0	0.00631	0	0	0	0.01653	0	0	0	0.00025	0.02664	0.01536	0	0	0	0	0	0	0	0	0	0.0488
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified	0	0	0	0	0	0	0	0	0	0	1.67216	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmatales_unclassified	0	0	0	0	0	0	0	0	0	0	0.35817	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0	0.0014	0.02018	0	0	0	0	0.05477	0	0	0.29458	0	0	0.00155	0	0	0	0.00199	0	0	0	0	0.01717
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	0	0	0	0	0	0	0	0	0	0	0.16479	0	0	0.10806	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified	0	0.00331	0	0.09335	0	0.01533	0	0.14293	0.02948	0	0.08075	0.02919	0	0.07099	0	0	0.0054	0	0	0	0.01406	0	0.01105
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	0	0	0	0	0	0	0	0	0	0	0.07914	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0.07538	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2950|o__OFGB2950|f__FGB2950	0	0	0	0	0	0	0	0	0	0	0.05961	0	0	0	0	0	0	0	0	0	0	0	0.07176
k__Bacteria|p__Firmicutes|c__CFGB3053|o__OFGB3053|f__FGB3053	0	0.21249	0	0.01874	0	0.00403	0	0.02925	0	0	0.05471	0.0027	0	0.06066	0	0	0	0.00294	0.01713	0	0.00584	0	0
k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340|f__FGB1340	0	0	0	0	0	0.8514	0.02919	0	0	0	0.0273	0	0	0	0	0	6.45964	0	0.27143	0.01213	0.07367	0.74349	0.02397
k__Bacteria|p__Bacteroidetes|c__CFGB602|o__OFGB602|f__FGB602	0	0	0	0	0	0	0	0	0	0	0.02491	0.49092	0	0	0	0	0.07898	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Tropherymataceae	0	0	0	0.03416	0	0	0	0	0	0	0.01839	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0	0.82525	0	0.02591	0	0.09137	0.01033	0.49081	0	0	0.01783	0	0.06992	0.18945	0	0.00307	0	0.0006	0.16494	0.02738	0.22146	0.03615	0
k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798|f__FGB1798	0	0	0	0	0	0	0	0	0	0	0.00976	0	0	0	0	0	0	0.68183	0.59299	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	0	0	0	0	0	0	0	0	0	0	0.00826	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0	0	0	0	0	0	0	0	0	0	0.00795	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0.00642	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutales_unclassified	0	0	0	0	0	0	0	0	0	0	0.00479	0	0	0	0	0	0.32381	0	0	0	0	0	0.33626
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae	0	0	0	0	0	0	0	0	0	0	0.00099	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2916|o__OFGB2916|f__FGB2916	0	0	0.00631	0	0	0	0.01653	0	0	0	0.00025	0.02664	0.01536	0	0	0	0	0	0	0	0	0	0.0488
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus	0	4.64945	0	0	0	0	0	0	0.01431	0	3.59916	1.62278	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB4569	0	0	0	0	0	0	0.00116	0	0.19178	0	2.61014	0	0	0	0	2.8104	0.02693	0	0	0.16018	0	0	0
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified|g__Blastocystis	0	0	0	0	0	0	0	0	0	0	1.67216	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	0	0.41179	0	0.05972	5.15116	0.18423	0	0.19285	0	0	0.37287	0	0.01751	0.15482	0.32415	0	0	0.00371	0.14423	0.05185	2.52765	0.34619	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmatales_unclassified|g__Acholeplasmatales_unclassified	0	0	0	0	0	0	0	0	0	0	0.35817	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9710	0.01674	0	0	0	0	0	0	0	0	0	0.31212	0.05007	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0.00357	0	0.06781	0.01003	0	0	0	0	0	0	0.31104	0	0	0	0	0.11455	0	0	0	0	0	0	0.55542
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9712	0.84112	0	0.14744	0	0	0	0.11573	0.1783	0.01011	0	0.26399	0.00371	0	0	0	0	0	0	0	0	0.01759	0	0.04851
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella	0	0.0014	0	0	0	0	0	0.03063	0	0	0.25334	0	0	0	0	0	0	0	0	0	0	0	0.0043
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	0.41736	0	0.13698	0.18167	0	0	0.09476	0.18582	0.02983	0	0.19838	0.12998	0.12147	0	0	0.18533	0.13673	0.17178	0.35778	0.11063	0.09319	0.20538	0.00674
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified	0	0	0	0	0	0	0.27745	0.17071	0.02041	0	0.16871	0	0.54771	0.04821	0	0	0.37642	0.11885	0	0.23271	0	1.96107	0.38505
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	0	0	0	0	0	0	0	0	0	0	0.16479	0	0	0.10806	0	0	0	0	0	0	0	0	0
