ID,Richness,Berger_Parker,Simpson,Shannon,Subsampling,Metodo,DB
1,11,0.2130510048,0.8652267526,2.141920927,25,deblur,SILVA
2,11,0.2113324468,0.8647301965,2.139248615,50,deblur,SILVA
3,11,0.2113361543,0.8647170468,2.138713995,75,deblur,SILVA
4,11,0.2124880296,0.8645289509,2.13800945,100,deblur,SILVA
5,9,0.2845188284,0.8122056687,1.827043455,25,dada,SILVA
6,10,0.2879684418,0.8222790207,1.912716109,50,dada,SILVA
7,10,0.2808219178,0.8188252955,1.885772434,75,dada,SILVA
8,11,0.29375,0.8222092014,1.925288747,100,dada,SILVA
9,11,0.2310371096,0.8490545476,2.039983097,25,otu_cr,SILVA
10,11,0.2294881104,0.8483122522,2.035868114,50,otu_cr,SILVA
11,11,0.2307687079,0.8479533807,2.033087116,75,otu_cr,SILVA
12,11,0.229414247,0.8483694949,2.036717688,100,otu_cr,SILVA
13,11,0.2130510048,0.8652267526,2.141920927,25,otu_or,SILVA
14,11,0.2113324468,0.8647301965,2.139248615,50,otu_or,SILVA
15,11,0.2113361543,0.8647170468,2.138713995,75,otu_or,SILVA
16,11,0.2124880296,0.8645289509,2.13800945,100,otu_or,SILVA
17,11,0.2109246785,0.8664725865,2.146437223,25,otu_dn,SILVA
18,11,0.2093285319,0.8659603578,2.143560461,50,otu_dn,SILVA
19,11,0.2093296747,0.8659583435,2.143128469,75,otu_dn,SILVA
20,11,0.2101973604,0.8658022467,2.14252133,100,otu_dn,SILVA
21,11,0.5418475853,0.6421183706,1.407309638,25,kraken2,SILVA
22,11,0.5420392965,0.6423613489,1.412449659,50,kraken2,SILVA
23,11,0.5426475965,0.6414878597,1.4057948,75,kraken2,SILVA
24,11,0.541665285,0.6433685984,1.415411644,100,kraken2,SILVA
25,11,0.2109589041,0.8665256325,2.146571771,25,deblur,GG
26,11,0.2090574437,0.8661138869,2.144118769,50,deblur,GG
27,11,0.2090836433,0.8660972348,2.143622729,75,deblur,GG
28,11,0.2099120909,0.8659535427,2.143065661,100,deblur,GG
29,9,0.2157676349,0.839827138,1.914061592,25,dada,GG
30,10,0.1950757576,0.8527677342,2.006948344,50,dada,GG
31,10,0.20703125,0.8511996799,1.993303266,75,dada,GG
32,11,0.1813676908,0.8590907796,2.050334256,100,dada,GG
33,11,0.2109371177,0.8665457556,2.146658823,25,otu_cr,GG
34,11,0.209069335,0.8661255862,2.144170444,50,otu_cr,GG
35,11,0.2091270262,0.8660956021,2.143632963,75,otu_cr,GG
36,11,0.2099704629,0.8659557215,2.143093105,100,otu_cr,GG
37,11,0.2109589041,0.8665256325,2.146571771,25,otu_or,GG
38,11,0.2090574437,0.8661138869,2.144118769,50,otu_or,GG
39,11,0.2090836433,0.8660972348,2.143622729,75,otu_or,GG
40,11,0.2099120909,0.8659535427,2.143065661,100,otu_or,GG
41,11,0.2109589041,0.8665256325,2.146571771,25,otu_dn,GG
42,11,0.2090574437,0.8661138869,2.144118769,50,otu_dn,GG
43,11,0.2090836433,0.8660972348,2.143622729,75,otu_dn,GG
44,11,0.2099120909,0.8659535427,2.143065661,100,otu_dn,GG
45,9,0.4821747906,0.6897693927,1.493479159,25,kraken2,GG
46,9,0.4822725331,0.6906098776,1.494362843,50,kraken2,GG
47,9,0.4796386653,0.6930198683,1.498863533,75,kraken2,GG
48,9,0.4773188757,0.6953843384,1.504259058,100,kraken2,GG
49,11,0.2111885025,0.8695420723,2.164998276,25,deblur,RDP
50,11,0.209523576,0.8690063864,2.162113407,50,deblur,RDP
51,11,0.2094476994,0.8690392297,2.161731768,75,deblur,RDP
52,11,0.2103274019,0.8689218202,2.161389618,100,deblur,RDP
53,9,0.2157676349,0.839827138,1.914061592,25,dada,RDP
54,10,0.1950757576,0.8527677342,2.006948344,50,dada,RDP
55,10,0.20703125,0.8511996799,1.993303266,75,dada,RDP
56,11,0.1813676908,0.8590907796,2.050334256,100,dada,RDP
57,11,0.2109371177,0.8665457556,2.146658823,25,otu_cr,RDP
58,11,0.209069335,0.8661255862,2.144170444,50,otu_cr,RDP
59,11,0.2091270262,0.8660956021,2.143632963,75,otu_cr,RDP
60,11,0.2099704629,0.8659557215,2.143093105,100,otu_cr,RDP
61,11,0.2111885025,0.8695420723,2.164998276,25,otu_or,RDP
62,11,0.209523576,0.8690063864,2.162113407,50,otu_or,RDP
63,11,0.2094476994,0.8690392297,2.161731768,75,otu_or,RDP
64,11,0.2103274019,0.8689218202,2.161389618,100,otu_or,RDP
65,11,0.2111885025,0.8695420723,2.164998276,25,otu_dn,RDP
66,11,0.209523576,0.8690063864,2.162113407,50,otu_dn,RDP
67,11,0.2094476994,0.8690392297,2.161731768,75,otu_dn,RDP
68,11,0.2103274019,0.8689218202,2.161389618,100,otu_dn,RDP
69,11,0.6968167128,0.4999306976,1.219944979,25,kraken2,RDP
70,11,0.6942665127,0.5032015401,1.22873883,50,kraken2,RDP
71,11,0.6939216777,0.503630597,1.228847058,75,kraken2,RDP
72,11,0.6941614646,0.5032897506,1.227298083,100,kraken2,RDP
73,11,0.2104607112,0.8736823702,2.182089098,25,deblur,EZ
74,11,0.2088552678,0.8735350591,2.180551276,50,deblur,EZ
75,11,0.2088810295,0.8735008674,2.180004394,75,deblur,EZ
76,11,0.2097428379,0.8733662294,2.179543967,100,deblur,EZ
77,9,0.2157676349,0.839827138,1.914061592,25,dada,EZ
78,10,0.1950757576,0.8527677342,2.006948344,50,dada,EZ
79,10,0.20703125,0.8511996799,1.993303266,75,dada,EZ
80,11,0.1813676908,0.8590907796,2.050334256,100,dada,EZ
81,11,0.2109371177,0.8665457556,2.146658823,25,otu_cr,EZ
82,11,0.209069335,0.8661255862,2.144170444,50,otu_cr,EZ
83,11,0.2091270262,0.8660956021,2.143632963,75,otu_cr,EZ
84,11,0.2099704629,0.8659557215,2.143093105,100,otu_cr,EZ
85,11,0.2104607112,0.8736823702,2.182089098,25,otu_or,EZ
86,11,0.2088552678,0.8735350591,2.180551276,50,otu_or,EZ
87,11,0.2088810295,0.8735008674,2.180004394,75,otu_or,EZ
88,11,0.2097428379,0.8733662294,2.179543967,100,otu_or,EZ
89,11,0.2104607112,0.8736823702,2.182089098,25,otu_dn,EZ
90,11,0.2088552678,0.8735350591,2.180551276,50,otu_dn,EZ
91,11,0.2088810295,0.8735008674,2.180004394,75,otu_dn,EZ
92,11,0.2097428379,0.8733662294,2.179543967,100,otu_dn,EZ
93,11,0.4355876108,0.7574365775,1.791475096,25,kraken2,kraken2
94,11,0.4200054057,0.7689236636,1.819651993,50,kraken2,kraken2
95,11,0.4126050071,0.7736207433,1.827324515,75,kraken2,kraken2
96,11,0.4013075025,0.7804539554,1.841559136,100,kraken2,kraken2
