ID,Richness,Berger_Parker,Simpson,Shannon,Subsampling,Metodo,DB
1,14,0.120145386,0.920246035,2.584090911,25,deblur,SILVA
2,14,0.1221309962,0.9199548807,2.582253157,50,deblur,SILVA
3,14,0.1216499468,0.9199988983,2.582334812,75,deblur,SILVA
4,14,0.1222274499,0.9200306259,2.582561018,100,deblur,SILVA
5,11,0.2104014138,0.8877694303,2.298339294,25,dada,SILVA
6,11,0.2111541753,0.8877213581,2.298530996,50,dada,SILVA
7,11,0.2107622565,0.8879275996,2.299503867,75,dada,SILVA
8,11,0.2110940682,0.8877466579,2.298531258,100,dada,SILVA
9,14,0.1201494295,0.9202437419,2.584074021,25,otu_cr,SILVA
10,14,0.1221309962,0.9199548807,2.582253157,50,otu_cr,SILVA
11,14,0.1216554012,0.9199956835,2.5823107,75,otu_cr,SILVA
12,14,0.1222336117,0.9200270043,2.582533803,100,otu_cr,SILVA
13,14,0.120145386,0.920246035,2.584090911,25,otu_or,SILVA
14,14,0.1221309962,0.9199548807,2.582253157,50,otu_or,SILVA
15,14,0.1216499468,0.9199988983,2.582334812,75,otu_or,SILVA
16,14,0.1222274499,0.9200306259,2.582561018,100,otu_or,SILVA
17,14,0.120145386,0.920246035,2.584090911,25,otu_dn,SILVA
18,14,0.1216499468,0.9199988983,2.582334812,50,otu_dn,SILVA
19,14,0.1221309962,0.9199548807,2.582253157,75,otu_dn,SILVA
20,14,0.1222274499,0.9200306259,2.582561018,100,otu_dn,SILVA
21,14,0.1439270075,0.9107338239,2.495391966,25,kraken2,SILVA
22,14,0.1457266325,0.9106761372,2.49554793,50,kraken2,SILVA
23,14,0.1457186352,0.9107521125,2.496020204,75,kraken2,SILVA
24,14,0.1458816805,0.9107760799,2.496197491,100,kraken2,SILVA
25,14,0.120145386,0.920246035,2.584090911,25,deblur,GG
26,14,0.1221309962,0.9199548807,2.582253157,50,deblur,GG
27,14,0.1216499468,0.9199988983,2.582334812,75,deblur,GG
28,14,0.1222274499,0.9200306259,2.582561018,100,deblur,GG
29,14,0.1717571411,0.9137066977,2.552723024,25,dada,GG
30,14,0.1728471364,0.9135777322,2.552541234,50,dada,GG
31,14,0.1726993822,0.9136990299,2.553386159,75,dada,GG
32,14,0.1730767248,0.9135429752,2.552409698,100,dada,GG
33,14,0.1201494295,0.9202437419,2.584074021,25,otu_cr,GG
34,14,0.1221309962,0.9199548807,2.582253157,50,otu_cr,GG
35,14,0.1216554012,0.9199956835,2.5823107,75,otu_cr,GG
36,14,0.1222336117,0.9200270043,2.582533803,100,otu_cr,GG
37,14,0.120145386,0.920246035,2.584090911,25,otu_or,GG
38,14,0.1221309962,0.9199548807,2.582253157,50,otu_or,GG
39,14,0.1216499468,0.9199988983,2.582334812,75,otu_or,GG
40,14,0.1222274499,0.9200306259,2.582561018,100,otu_or,GG
41,14,0.120145386,0.920246035,2.584090911,25,otu_dn,GG
42,14,0.1221309962,0.9199548807,2.582253157,50,otu_dn,GG
43,14,0.1216499468,0.9199988983,2.582334812,75,otu_dn,GG
44,14,0.1222274499,0.9200306259,2.582561018,100,otu_dn,GG
45,8,0.200696834,0.860611128,2.022200588,25,kraken2,GG
46,8,0.2119331079,0.8558355283,2.003390658,50,kraken2,GG
47,8,0.2047469459,0.8580670546,2.013361068,75,kraken2,GG
48,8,0.211642918,0.8515316279,1.984853597,100,kraken2,GG
49,14,0.120145386,0.920246035,2.584090911,25,deblur,RDP
50,14,0.1221309962,0.9199548807,2.582253157,50,deblur,RDP
51,14,0.1216499468,0.9199988983,2.582334812,75,deblur,RDP
52,14,0.1222274499,0.9200306259,2.582561018,100,deblur,RDP
53,14,0.1717571411,0.9137066977,2.552723024,25,dada,RDP
54,14,0.1728471364,0.9135777322,2.552541234,50,dada,RDP
55,14,0.1726993822,0.9136990299,2.553386159,75,dada,RDP
56,14,0.1730767248,0.9135429752,2.552409698,100,dada,RDP
57,14,0.1201494295,0.9202437419,2.584074021,25,otu_cr,RDP
58,14,0.1221309962,0.9199548807,2.582253157,50,otu_cr,RDP
59,14,0.1216554012,0.9199956835,2.5823107,75,otu_cr,RDP
60,14,0.1222336117,0.9200270043,2.582533803,100,otu_cr,RDP
61,14,0.120145386,0.920246035,2.584090911,25,otu_or,RDP
62,14,0.1221309962,0.9199548807,2.582253157,50,otu_or,RDP
63,14,0.1216499468,0.9199988983,2.582334812,75,otu_or,RDP
64,14,0.1222274499,0.9200306259,2.582561018,100,otu_or,RDP
65,14,0.120145386,0.920246035,2.584090911,25,otu_dn,RDP
66,14,0.1221309962,0.9199548807,2.582253157,50,otu_dn,RDP
67,14,0.1216499468,0.9199988983,2.582334812,75,otu_dn,RDP
68,14,0.1222274499,0.9200306259,2.582561018,100,otu_dn,RDP
69,14,0.1394661162,0.9098586789,2.482692536,25,kraken2,RDP
70,14,0.1415677403,0.9095989088,2.480535133,50,kraken2,RDP
71,14,0.1415105332,0.9097233148,2.482098549,75,kraken2,RDP
72,14,0.1415586229,0.9097083828,2.481403238,100,kraken2,RDP
73,14,0.120145386,0.920246035,2.584090911,25,deblur,EZ
74,14,0.1221309962,0.9199548807,2.582253157,50,deblur,EZ
75,14,0.1216499468,0.9199988983,2.582334812,75,deblur,EZ
76,14,0.1222274499,0.9200306259,2.582561018,100,deblur,EZ
77,14,0.1717571411,0.9137066977,2.552723024,25,dada,EZ
78,14,0.1728471364,0.9135777322,2.552541234,50,dada,EZ
79,14,0.1726993822,0.9136990299,2.553386159,75,dada,EZ
80,14,0.1730767248,0.9135429752,2.552409698,100,dada,EZ
81,14,0.1201494295,0.9202437419,2.584074021,25,otu_cr,EZ
82,14,0.1221309962,0.9199548807,2.582253157,50,otu_cr,EZ
83,14,0.1216554012,0.9199956835,2.5823107,75,otu_cr,EZ
84,14,0.1222336117,0.9200270043,2.582533803,100,otu_cr,EZ
85,14,0.120145386,0.920246035,2.584090911,25,otu_or,EZ
86,14,0.1221309962,0.9199548807,2.582253157,50,otu_or,EZ
87,14,0.1216499468,0.9199988983,2.582334812,75,otu_or,EZ
88,14,0.1222274499,0.9200306259,2.582561018,100,otu_or,EZ
89,14,0.120145386,0.920246035,2.584090911,25,otu_dn,EZ
90,14,0.1221309962,0.9199548807,2.582253157,50,otu_dn,EZ
91,14,0.1216499468,0.9199988983,2.582334812,75,otu_dn,EZ
92,14,0.1222274499,0.9200306259,2.582561018,100,otu_dn,EZ
93,13,0.159006582,0.8959369364,2.382164249,25,kraken2,kraken2
94,13,0.1605363496,0.8944313376,2.366437498,50,kraken2,kraken2
95,13,0.1630450487,0.8929645776,2.35630463,75,kraken2,kraken2
96,13,0.1632929642,0.8928382911,2.355406289,100,kraken2,kraken2
