ID,Richness,Berger_Parker,Simpson,Shannon,Subsampling,Metodo,DB
1,19,0.1425611138,0.9157031376,2.612720387,25,deblur,SILVA
2,19,0.1420522976,0.915875736,2.614155014,50,deblur,SILVA
3,19,0.1432239827,0.9156619445,2.61265606,75,deblur,SILVA
4,19,0.143167186,0.9157702271,2.613621863,100,deblur,SILVA
5,17,0.1544383638,0.9213171747,2.673479382,25,dada,SILVA
6,17,0.1555253657,0.9210279978,2.671895779,50,dada,SILVA
7,17,0.1568978198,0.9207418848,2.670007229,75,dada,SILVA
8,17,0.1575671125,0.9206693264,2.670142354,100,dada,SILVA
9,19,0.1413278981,0.9154219534,2.58912605,25,otu_cr,SILVA
10,19,0.1411305542,0.9154136816,2.589609665,50,otu_cr,SILVA
11,19,0.1423027652,0.9151881448,2.58735123,75,otu_cr,SILVA
12,19,0.1422136577,0.9153274105,2.589218775,100,otu_cr,SILVA
13,19,0.1496651824,0.9104732734,2.55988088,25,otu_or,SILVA
14,19,0.1494603812,0.9104509105,2.559616167,50,otu_or,SILVA
15,19,0.1507712053,0.910184589,2.557699334,75,otu_or,SILVA
16,19,0.1507846985,0.9102465492,2.55779544,100,otu_or,SILVA
17,19,0.1594111157,0.9027753367,2.486368503,25,otu_dn,SILVA
18,19,0.15892383,0.9029443171,2.48735388,50,otu_dn,SILVA
19,19,0.1601514914,0.9026974691,2.485996653,75,otu_dn,SILVA
20,19,0.1602823674,0.9027761217,2.486611389,100,otu_dn,SILVA
21,20,0.2257159463,0.8695490589,2.43075548,25,kraken2,SILVA
22,20,0.2219791049,0.8722385275,2.443560115,50,kraken2,SILVA
23,20,0.2267118093,0.8676384188,2.400590435,75,kraken2,SILVA
24,20,0.2272623846,0.8672001379,2.398561333,100,kraken2,SILVA
25,20,0.1272558339,0.9210161127,2.681518521,25,deblur,GG
26,20,0.1287646885,0.921054783,2.682160586,50,deblur,GG
27,20,0.1291477343,0.9210775448,2.682621511,75,deblur,GG
28,20,0.128246651,0.9212028363,2.683393944,100,deblur,GG
29,18,0.1075678591,0.9351235112,2.806252546,25,dada,GG
30,18,0.1089373135,0.9348944127,2.804010522,50,dada,GG
31,19,0.1091584382,0.9348503795,2.804061856,75,dada,GG
32,19,0.1084609499,0.9348844117,2.804374047,100,dada,GG
33,20,0.1184000532,0.9259419888,2.72744745,25,otu_cr,GG
34,20,0.1198562624,0.9259812224,2.72857459,50,otu_cr,GG
35,20,0.1202207068,0.9259527131,2.727932781,75,otu_cr,GG
36,20,0.119333611,0.9261011791,2.729644872,100,otu_cr,GG
37,20,0.1286997306,0.9262349629,2.736450587,25,otu_or,GG
38,20,0.1285708397,0.9262535971,2.73709137,50,otu_or,GG
39,20,0.1296705893,0.9261183818,2.735971821,75,otu_or,GG
40,20,0.1286022349,0.9273001061,2.760878382,100,otu_or,GG
41,20,0.1176315137,0.9267840456,2.746266893,25,otu_dn,GG
42,20,0.1194737714,0.9267640211,2.746665189,50,otu_dn,GG
43,20,0.1186123531,0.9268900561,2.747514232,75,otu_dn,GG
44,20,0.119102331,0.9267992495,2.746840493,100,otu_dn,GG
45,17,0.4644235438,0.7235965221,1.775170997,25,kraken2,GG
46,18,0.4695355324,0.7187436215,1.818976431,50,kraken2,GG
47,18,0.4898467845,0.6998532878,1.751833903,75,kraken2,GG
48,18,0.4774478447,0.712350703,1.800521368,100,kraken2,GG
49,20,0.1344168071,0.9202168986,2.688004554,25,deblur,RDP
50,20,0.134177844,0.9204829473,2.69027335,50,deblur,RDP
51,20,0.1343648317,0.9205466194,2.691191653,75,deblur,RDP
52,20,0.1343750776,0.9205737354,2.691023425,100,deblur,RDP
53,19,0.1021090711,0.9389657623,2.864552589,25,dada,RDP
54,19,0.1033008746,0.9387802259,2.862538081,50,dada,RDP
55,19,0.1035081088,0.9387357458,2.862181286,75,dada,RDP
56,19,0.1028864899,0.9387584804,2.86240893,100,dada,RDP
57,20,0.2866672467,0.8753170874,2.468987774,25,otu_cr,RDP
58,20,0.2879754414,0.8748522297,2.468095534,50,otu_cr,RDP
59,20,0.2888506555,0.8744527603,2.466293833,75,otu_cr,RDP
60,20,0.287956766,0.8749010175,2.468071361,100,otu_cr,RDP
61,20,0.2863806916,0.8754999152,2.47000621,25,otu_or,RDP
62,20,0.2877206975,0.8750117247,2.468920418,50,otu_or,RDP
63,20,0.2886058787,0.874605571,2.467068007,75,otu_or,RDP
64,20,0.2877249352,0.8750458313,2.468817268,100,otu_or,RDP
65,20,0.2863806916,0.8754999152,2.47000621,25,otu_dn,RDP
66,20,0.2877206975,0.8750117247,2.468920418,50,otu_dn,RDP
67,20,0.2886058787,0.874605571,2.467068007,75,otu_dn,RDP
68,20,0.2877249352,0.8750458313,2.468817268,100,otu_dn,RDP
69,20,0.2220748167,0.8748156476,2.45938092,25,kraken2,RDP
70,20,0.2185050539,0.8774677179,2.472561853,50,kraken2,RDP
71,20,0.2174579349,0.8784394977,2.478354391,75,kraken2,RDP
72,20,0.217974556,0.8781047258,2.476955568,100,kraken2,RDP
73,20,0.1058813035,0.9317363939,2.780633839,25,deblur,EZ
74,20,0.1071516215,0.9317548847,2.781282273,50,deblur,EZ
75,20,0.1073848844,0.9316978267,2.78088008,75,deblur,EZ
76,20,0.1066422505,0.93179378,2.781552282,100,deblur,EZ
77,19,0.1021090711,0.9389657623,2.864552589,25,dada,EZ
78,19,0.1033008746,0.9387802259,2.862538081,50,dada,EZ
79,19,0.1035081088,0.9387357458,2.862181286,75,dada,EZ
80,19,0.1028864899,0.9387584804,2.86240893,100,dada,EZ
81,19,0.1035339953,0.9340702493,2.811853341,25,otu_cr,EZ
82,19,0.1048216962,0.9340495584,2.811840757,50,otu_cr,EZ
83,19,0.1050151104,0.9340162679,2.811497443,75,otu_cr,EZ
84,19,0.1042542972,0.9341353617,2.81255404,100,otu_cr,EZ
85,20,0.1031770177,0.9344517972,2.822807753,25,otu_or,EZ
86,20,0.1044773955,0.9344145134,2.822485717,50,otu_or,EZ
87,20,0.1046632124,0.934391592,2.822434903,75,otu_or,EZ
88,20,0.103907219,0.9345102708,2.823541036,100,otu_or,EZ
89,20,0.1033282071,0.9343366643,2.821612287,25,otu_dn,EZ
90,20,0.1046481226,0.9342843607,2.821120768,50,otu_dn,EZ
91,20,0.1048332727,0.9342633501,2.821101588,75,otu_dn,EZ
92,20,0.1040683716,0.9343890549,2.822285681,100,otu_dn,EZ
93,20,0.2489633508,0.8549012073,2.334058893,25,kraken2,kraken2
94,20,0.2736032506,0.859816206,2.342614851,50,kraken2,kraken2
95,20,0.2653746508,0.8573198726,2.31413956,75,kraken2,kraken2
96,20,0.2578135076,0.8549270782,2.300903151,100,kraken2,kraken2
