ID,Richness,Berger_Parker,Simpson,Shannon,Subsampling,Metodo,DB
1,19,0.1050672218,0.930485438,2.757806336,25,deblur,SILVA
2,19,0.1047931418,0.9304081262,2.757505672,50,deblur,SILVA
3,19,0.1043193945,0.9304580535,2.758394488,75,deblur,SILVA
4,19,0.1045726541,0.9304601359,2.75830664,100,deblur,SILVA
5,20,0.09174130959,0.9379721488,2.866034292,25,dada,SILVA
6,20,0.09223859712,0.9378441388,2.864987702,50,dada,SILVA
7,20,0.09286882792,0.9378652923,2.86514736,75,dada,SILVA
8,20,0.09361065089,0.9379728337,2.865663378,100,dada,SILVA
9,21,0.1004325938,0.9346188025,2.822485008,25,otu_cr,SILVA
10,21,0.1001518795,0.9345513108,2.822199356,50,otu_cr,SILVA
11,21,0.0997069016,0.9345998107,2.822972362,75,otu_cr,SILVA
12,21,0.09996435419,0.9345983546,2.822959648,100,otu_cr,SILVA
13,21,0.1004241254,0.9346215225,2.822507018,25,otu_or,SILVA
14,21,0.1001417399,0.9345568693,2.822262108,50,otu_or,SILVA
15,21,0.09969596486,0.93460422,2.82301973,75,otu_or,SILVA
16,21,0.09995423457,0.9346018862,2.822994859,100,otu_or,SILVA
17,21,0.1006617815,0.9344309874,2.820533203,25,otu_dn,SILVA
18,21,0.1003933012,0.9343678188,2.820359182,50,otu_dn,SILVA
19,21,0.09995375514,0.9344049654,2.821020116,75,otu_dn,SILVA
20,21,0.100198096,0.9344011703,2.820965116,100,otu_dn,SILVA
21,20,0.09094133961,0.940610425,2.898701548,25,kraken2,SILVA
22,20,0.09126873213,0.9406474412,2.899215434,50,kraken2,SILVA
23,20,0.09100780528,0.9407088464,2.899915602,75,kraken2,SILVA
24,20,0.09083873464,0.9407194529,2.899957247,100,kraken2,SILVA
25,21,0.0994480674,0.9357169855,2.853092872,25,deblur,GG
26,21,0.09919727885,0.9356797878,2.853108781,50,deblur,GG
27,21,0.09875752173,0.9356792456,2.853173554,75,deblur,GG
28,21,0.09899612739,0.9356829404,2.853311522,100,deblur,GG
29,20,0.09018235662,0.9394120648,2.888242202,25,dada,GG
30,20,0.09066788533,0.9393114153,2.887651537,50,dada,GG
31,20,0.09129146268,0.9393332259,2.88793674,75,dada,GG
32,21,0.09202116801,0.939447767,2.8889774,100,dada,GG
33,21,0.09944142475,0.9357102128,2.853004098,25,otu_cr,GG
34,21,0.09919769336,0.9356709717,2.852997291,50,otu_cr,GG
35,21,0.09874916426,0.9356708114,2.853065686,75,otu_cr,GG
36,21,0.09899157839,0.9356767813,2.853225364,100,otu_cr,GG
37,21,0.0994480674,0.9357169855,2.853092872,25,otu_or,GG
38,21,0.09919727885,0.9356797878,2.853108781,50,otu_or,GG
39,21,0.09875752173,0.9356792456,2.853173554,75,otu_or,GG
40,21,0.09899612739,0.9356829404,2.853311522,100,otu_or,GG
41,21,0.0994480674,0.9357169855,2.853092872,25,otu_dn,GG
42,21,0.09919727885,0.9356797878,2.853108781,50,otu_dn,GG
43,21,0.09875752173,0.9356792456,2.853173554,75,otu_dn,GG
44,21,0.09899612739,0.9356829404,2.853311522,100,otu_dn,GG
45,19,0.1869427209,0.9074459863,2.584030353,25,kraken2,GG
46,19,0.1656607551,0.9170232759,2.644395357,50,kraken2,GG
47,19,0.1780327666,0.9136789432,2.634644357,75,kraken2,GG
48,19,0.1771418838,0.9139678168,2.636209824,100,kraken2,GG
49,21,0.0994480674,0.9357169855,2.853092872,25,deblur,RDP
50,21,0.09919727885,0.9356797878,2.853108781,50,deblur,RDP
51,21,0.09875752173,0.9356792456,2.853173554,75,deblur,RDP
52,21,0.09899612739,0.9356829404,2.853311522,100,deblur,RDP
53,20,0.09018235662,0.9394120648,2.888242202,25,dada,RDP
54,20,0.09066788533,0.9393114153,2.887651537,50,dada,RDP
55,20,0.09129146268,0.9393332259,2.88793674,75,dada,RDP
56,21,0.09202116801,0.939447767,2.8889774,100,dada,RDP
57,21,0.1139304078,0.9275777406,2.743474212,25,otu_cr,RDP
58,21,0.1136832729,0.927712625,2.744962993,50,otu_cr,RDP
59,21,0.1131664054,0.9277055442,2.744979681,75,otu_cr,RDP
60,21,0.1134180487,0.927689205,2.744888527,100,otu_cr,RDP
