Sample,Method,Metric,metric_value
Reff_Mock_8,reff,reff,57
Reff_Mock_8,reff,reff,0.3798763147
Reff_Mock_8,reff,reff,0.8323525967
Reff_Mock_8,reff,reff,2.680866014
Mock_8_25,Kraken2+Bracken,Richness,47
Mock_8_25,Kraken2+Bracken,Berger_Parker,0.1250084809
Mock_8_25,Kraken2+Bracken,Simpson,0.9339489454
Mock_8_25,Kraken2+Bracken,Shannon,3.037407808
Mock_8_25,Metaphlan,Richness,44
Mock_8_25,Metaphlan,Berger_Parker,0.4395226381
Mock_8_25,Metaphlan,Simpson,0.7863192878
Mock_8_25,Metaphlan,Shannon,2.441505434
Mock_8_25,motus,Richness,36
Mock_8_25,motus,Berger_Parker,0.4675112284
Mock_8_25,motus,Simpson,0.7514554483
Mock_8_25,motus,Shannon,2.153486467
Mock_8_25,ganon,Richness,47
Mock_8_25,ganon,Berger_Parker,0.09041414292
Mock_8_25,ganon,Simpson,0.9462574643
Mock_8_25,ganon,Shannon,3.156911966
Mock_8_100,Kraken2+Bracken,Richness,47
Mock_8_100,Kraken2+Bracken,Berger_Parker,0.1248177904
Mock_8_100,Kraken2+Bracken,Simpson,0.9341940092
Mock_8_100,Kraken2+Bracken,Shannon,3.041020873
Mock_8_100,Metaphlan,Richness,50
Mock_8_100,Metaphlan,Berger_Parker,0.4173177481
Mock_8_100,Metaphlan,Simpson,0.8053799807
Mock_8_100,Metaphlan,Shannon,2.555637362
Mock_8_100,motus,Richness,47
Mock_8_100,motus,Berger_Parker,0.4543967365
Mock_8_100,motus,Simpson,0.7694307723
Mock_8_100,motus,Shannon,2.358063391
Mock_8_100,ganon,Richness,44
Mock_8_100,ganon,Berger_Parker,0.1085856451
Mock_8_100,ganon,Simpson,0.938392397
Mock_8_100,ganon,Shannon,3.049770114
