Sample,Method,Metric,metric_value
Reff_Mock_11,reff,reff,11
Reff_Mock_11,reff,reff,0.3005041681
Reff_Mock_11,reff,reff,0.7265206788
Reff_Mock_11,reff,reff,1.455352419
Mock_11_25,Kraken2+Bracken,Richness,11
Mock_11_25,Kraken2+Bracken,Berger_Parker,0.3906057615
Mock_11_25,Kraken2+Bracken,Simpson,0.7047129181
Mock_11_25,Kraken2+Bracken,Shannon,1.39870948
Mock_11_25,Metaphlan,Richness,7
Mock_11_25,Metaphlan,Berger_Parker,0.3367140069
Mock_11_25,Metaphlan,Simpson,0.7218629763
Mock_11_25,Metaphlan,Shannon,1.41845775
Mock_11_25,motus,Richness,8
Mock_11_25,motus,Berger_Parker,0.3280135068
Mock_11_25,motus,Simpson,0.7338320173
Mock_11_25,motus,Shannon,1.484626292
Mock_11_25,ganon,Richness,11
Mock_11_25,ganon,Berger_Parker,0.3414932385
Mock_11_25,ganon,Simpson,0.7262784441
Mock_11_25,ganon,Shannon,1.463014548
Mock_11_100,Kraken2+Bracken,Richness,11
Mock_11_100,Kraken2+Bracken,Berger_Parker,0.3880815264
Mock_11_100,Kraken2+Bracken,Simpson,0.7036811004
Mock_11_100,Kraken2+Bracken,Shannon,1.391735769
Mock_11_100,Metaphlan,Richness,8
Mock_11_100,Metaphlan,Berger_Parker,0.3313441219
Mock_11_100,Metaphlan,Simpson,0.724765171
Mock_11_100,Metaphlan,Shannon,1.441056822
Mock_11_100,motus,Richness,11
Mock_11_100,motus,Berger_Parker,0.2523778251
Mock_11_100,motus,Simpson,0.7910139994
Mock_11_100,motus,Shannon,1.704764536
Mock_11_100,ganon,Richness,11
Mock_11_100,ganon,Berger_Parker,0.3415030948
Mock_11_100,ganon,Simpson,0.7263825386
Mock_11_100,ganon,Shannon,1.463410792
