Sample,Method,Metric,metric_value
Reff_Mock_10,reff,reff,11
Reff_Mock_10,reff,reff,0.3038814862
Reff_Mock_10,reff,reff,0.7208972359
Reff_Mock_10,reff,reff,1.428771853
Mock_10_25,Kraken2+Bracken,Richness,11
Mock_10_25,Kraken2+Bracken,Berger_Parker,0.4826570379
Mock_10_25,Kraken2+Bracken,Simpson,0.6804855027
Mock_10_25,Kraken2+Bracken,Shannon,1.396046778
Mock_10_25,Metaphlan,Richness,8
Mock_10_25,Metaphlan,Berger_Parker,0.3171201586
Mock_10_25,Metaphlan,Simpson,0.7062220364
Mock_10_25,Metaphlan,Shannon,1.343358379
Mock_10_25,motus,Richness,8
Mock_10_25,motus,Berger_Parker,0.3643738208
Mock_10_25,motus,Simpson,0.707146547
Mock_10_25,motus,Shannon,1.376909732
Mock_10_25,ganon,Richness,11
Mock_10_25,ganon,Berger_Parker,0.3417147094
Mock_10_25,ganon,Simpson,0.7108510293
Mock_10_25,ganon,Shannon,1.386008318
Mock_10_100,Kraken2+Bracken,Richness,11
Mock_10_100,Kraken2+Bracken,Berger_Parker,0.4780499636
Mock_10_100,Kraken2+Bracken,Simpson,0.6831162721
Mock_10_100,Kraken2+Bracken,Shannon,1.399742719
Mock_10_100,Metaphlan,Richness,9
Mock_10_100,Metaphlan,Berger_Parker,0.3329847532
Mock_10_100,Metaphlan,Simpson,0.7112242637
Mock_10_100,Metaphlan,Shannon,1.376026286
Mock_10_100,motus,Richness,10
Mock_10_100,motus,Berger_Parker,0.3448800963
Mock_10_100,motus,Simpson,0.7177847572
Mock_10_100,motus,Shannon,1.44012854
Mock_10_100,ganon,Richness,11
Mock_10_100,ganon,Berger_Parker,0.3420718972
Mock_10_100,ganon,Simpson,0.7105326188
Mock_10_100,ganon,Shannon,1.384491276
