Sample,Method,Metric,metric_value
Reff_Mock_9,reff,reff,19
Reff_Mock_9,reff,reff,0.07340425532
Reff_Mock_9,reff,reff,0.945837483
Reff_Mock_9,reff,reff,2.929916149
Mock_9_25,Kraken2+Bracken,Richness,17
Mock_9_25,Kraken2+Bracken,Berger_Parker,0.1024895493
Mock_9_25,Kraken2+Bracken,Simpson,0.9286516568
Mock_9_25,Kraken2+Bracken,Shannon,2.72120816
Mock_9_25,Metaphlan,Richness,17
Mock_9_25,Metaphlan,Berger_Parker,0.09855931827
Mock_9_25,Metaphlan,Simpson,0.9358724368
Mock_9_25,Metaphlan,Shannon,2.784040016
Mock_9_25,motus,Richness,17
Mock_9_25,motus,Berger_Parker,0.09526777447
Mock_9_25,motus,Simpson,0.936922453
Mock_9_25,motus,Shannon,2.795757229
Mock_9_25,ganon,Richness,17
Mock_9_25,ganon,Berger_Parker,0.09468656747
Mock_9_25,ganon,Simpson,0.9366316537
Mock_9_25,ganon,Shannon,2.794387063
Mock_9_100,Kraken2+Bracken,Richness,18
Mock_9_100,Kraken2+Bracken,Berger_Parker,0.1073586918
Mock_9_100,Kraken2+Bracken,Simpson,0.9241548324
Mock_9_100,Kraken2+Bracken,Shannon,2.65981119
Mock_9_100,Metaphlan,Richness,17
Mock_9_100,Metaphlan,Berger_Parker,0.09988984484
Mock_9_100,Metaphlan,Simpson,0.9364722129
Mock_9_100,Metaphlan,Shannon,2.790941734
Mock_9_100,motus,Richness,14
Mock_9_100,motus,Berger_Parker,0.1187409378
Mock_9_100,motus,Simpson,0.9224932027
Mock_9_100,motus,Shannon,2.594156089
Mock_9_100,ganon,Richness,18
Mock_9_100,ganon,Berger_Parker,0.09427728207
Mock_9_100,ganon,Simpson,0.9366871529
Mock_9_100,ganon,Shannon,2.795198799
