Sample,Method,Metric,metric_value
Reff_Mock_12,reff,reff,17
Reff_Mock_12,reff,reff,0.1484985313
Reff_Mock_12,reff,reff,0.886142065
Reff_Mock_12,reff,reff,2.304378378
Mock_12_25,Kraken2+Bracken,Richness,15
Mock_12_25,Kraken2+Bracken,Berger_Parker,0.2010059993
Mock_12_25,Kraken2+Bracken,Simpson,0.8528768733
Mock_12_25,Kraken2+Bracken,Shannon,2.113021651
Mock_12_25,Metaphlan,Richness,13
Mock_12_25,Metaphlan,Berger_Parker,0.2270556178
Mock_12_25,Metaphlan,Simpson,0.8502008248
Mock_12_25,Metaphlan,Shannon,2.088626834
Mock_12_25,motus,Richness,12
Mock_12_25,motus,Berger_Parker,0.2640133587
Mock_12_25,motus,Simpson,0.8415522321
Mock_12_25,motus,Shannon,2.058695888
Mock_12_25,ganon,Richness,13
Mock_12_25,ganon,Berger_Parker,0.2260322039
Mock_12_25,ganon,Simpson,0.8559318516
Mock_12_25,ganon,Shannon,2.10627652
Mock_12_100,Kraken2+Bracken,Richness,17
Mock_12_100,Kraken2+Bracken,Berger_Parker,0.2002358946
Mock_12_100,Kraken2+Bracken,Simpson,0.8542739324
Mock_12_100,Kraken2+Bracken,Shannon,2.127346274
Mock_12_100,Metaphlan,Richness,15
Mock_12_100,Metaphlan,Berger_Parker,0.2178685839
Mock_12_100,Metaphlan,Simpson,0.8562293222
Mock_12_100,Metaphlan,Shannon,2.117153722
Mock_12_100,motus,Richness,12
Mock_12_100,motus,Berger_Parker,0.2372321624
Mock_12_100,motus,Simpson,0.8576615846
Mock_12_100,motus,Shannon,2.124615129
Mock_12_100,ganon,Richness,15
Mock_12_100,ganon,Berger_Parker,0.2221971682
Mock_12_100,ganon,Simpson,0.8599876844
Mock_12_100,ganon,Shannon,2.151682624
