ID,Richness,Berger_Parker,Simpson,Shannon
Mock-7,11,0.13,0.8916,2.28025127
Kraken2+Bracken,11,0.2335129848,0.8704936168,2.195147937
Metaphlan,10,0.2197521975,0.8510693751,2.040470776
motus,10,0.2386134623,0.8450697009,2.028812164
ganon,11,0.2552277595,0.8513051896,2.080732257
