ID,Richness,Berger_Parker,Simpson,Shannon
Mock-10,11,0.3038814862,0.7208972359,1.428771853
Kraken2+Bracken,11,0.4780499636,0.6831162721,1.399742719
Metaphlan,9,0.3329847532,0.7112242637,1.376026286
motus,10,0.3448800963,0.7177847572,1.44012854
ganon,11,0.3420718972,0.7105326188,1.384491276
