ID,Richness,Berger_Parker,Simpson,Shannon
Mock-11,11,0.3005041681,0.7265206788,1.455352419
Kraken2+Bracken,11,0.3880815264,0.7036811004,1.391735769
Metaphlan,8,0.3313441219,0.724765171,1.441056822
motus,11,0.2523778251,0.7910139994,1.704764536
ganon,11,0.3415030948,0.7263825386,1.463410792
