ID,Richness,Berger_Parker,Simpson,Shannon
Mock-12,17,0.1484985313,0.886142065,2.304378378
Kraken2+Bracken,17,0.2002358946,0.8542739324,2.127346274
Metaphlan,15,0.2178685839,0.8562293222,2.117153722
motus,12,0.2372321624,0.8576615846,2.124615129
ganon,15,0.2221971682,0.8599876844,2.151682624
